iter: 2000, rank1: 0.809, rank2: 0.888, rank4: 0.932, rank8: 0.960, rank16: 0.980, rank32: 0.990
iter: 2500, rank1: 0.811, rank2: 0.890, rank4: 0.937, rank8: 0.965, rank16: 0.981, rank32: 0.991
iter: 3000, rank1: 0.817, rank2: 0.893, rank4: 0.937, rank8: 0.964, rank16: 0.981, rank32: 0.991
iter: 3500, rank1: 0.832, rank2: 0.904, rank4: 0.944, rank8: 0.968, rank16: 0.982, rank32: 0.992
iter: 4000, rank1: 0.840, rank2: 0.909, rank4: 0.945, rank8: 0.970, rank16: 0.985, rank32: 0.993
iter: 4500, rank1: 0.846, rank2: 0.911, rank4: 0.947, rank8: 0.971, rank16: 0.983, rank32: 0.992
iter: 5000, rank1: 0.850, rank2: 0.912, rank4: 0.947, rank8: 0.973, rank16: 0.984, rank32: 0.992
iter: 5500, rank1: 0.849, rank2: 0.912, rank4: 0.946, rank8: 0.971, rank16: 0.985, rank32: 0.992
iter: 6000, rank1: 0.851, rank2: 0.913, rank4: 0.949, rank8: 0.972, rank16: 0.985, rank32: 0.992
iter: 6500, rank1: 0.850, rank2: 0.915, rank4: 0.949, rank8: 0.972, rank16: 0.985, rank32: 0.991

iter: 7000, rank1: 0.855, rank2: 0.915, rank4: 0.951, rank8: 0.972, rank16: 0.985, rank32: 0.992
iter: 7500, rank1: 0.851, rank2: 0.916, rank4: 0.950, rank8: 0.973, rank16: 0.985, rank32: 0.992
iter: 8000, rank1: 0.853, rank2: 0.916, rank4: 0.951, rank8: 0.973, rank16: 0.985, rank32: 0.992
iter: 2000, rank1: 0.809, rank2: 0.888, rank4: 0.932, rank8: 0.960, rank16: 0.980, rank32: 0.990
iter: 2500, rank1: 0.811, rank2: 0.890, rank4: 0.937, rank8: 0.965, rank16: 0.981, rank32: 0.991
iter: 3000, rank1: 0.817, rank2: 0.893, rank4: 0.937, rank8: 0.964, rank16: 0.981, rank32: 0.991
iter: 3500, rank1: 0.832, rank2: 0.904, rank4: 0.944, rank8: 0.968, rank16: 0.982, rank32: 0.992
iter: 4000, rank1: 0.840, rank2: 0.909, rank4: 0.945, rank8: 0.970, rank16: 0.985, rank32: 0.993
iter: 4500, rank1: 0.846, rank2: 0.911, rank4: 0.947, rank8: 0.971, rank16: 0.983, rank32: 0.992
iter: 5000, rank1: 0.850, rank2: 0.912, rank4: 0.947, rank8: 0.973, rank16: 0.984, rank32: 0.992
iter: 5500, rank1: 0.849, rank2: 0.912, rank4: 0.946, rank8: 0.971, rank16: 0.985, rank32: 0.992
iter: 6000, rank1: 0.851, rank2: 0.913, rank4: 0.949, rank8: 0.972, rank16: 0.985, rank32: 0.992
iter: 6500, rank1: 0.850, rank2: 0.915, rank4: 0.949, rank8: 0.972, rank16: 0.985, rank32: 0.991
iter: 7000, rank1: 0.855, rank2: 0.915, rank4: 0.951, rank8: 0.972, rank16: 0.985, rank32: 0.992
iter: 7500, rank1: 0.851, rank2: 0.916, rank4: 0.950, rank8: 0.973, rank16: 0.985, rank32: 0.992
iter: 8000, rank1: 0.853, rank2: 0.916, rank4: 0.951, rank8: 0.973, rank16: 0.985, rank32: 0.992
