iter: 1000, rank1: 0.624, rank2: 0.734, rank4: 0.830, rank8: 0.897, rank16: 0.939, rank32: 0.967
iter: 1250, rank1: 0.617, rank2: 0.735, rank4: 0.830, rank8: 0.899, rank16: 0.943, rank32: 0.969
iter: 1500, rank1: 0.622, rank2: 0.733, rank4: 0.830, rank8: 0.896, rank16: 0.942, rank32: 0.968
iter: 1750, rank1: 0.625, rank2: 0.736, rank4: 0.827, rank8: 0.895, rank16: 0.941, rank32: 0.968

iter: 2000, rank1: 0.623, rank2: 0.732, rank4: 0.833, rank8: 0.896, rank16: 0.941, rank32: 0.969
iter: 2250, rank1: 0.623, rank2: 0.735, rank4: 0.834, rank8: 0.896, rank16: 0.940, rank32: 0.969
iter: 2500, rank1: 0.625, rank2: 0.736, rank4: 0.831, rank8: 0.893, rank16: 0.941, rank32: 0.968
iter: 2750, rank1: 0.622, rank2: 0.738, rank4: 0.832, rank8: 0.895, rank16: 0.939, rank32: 0.967
iter: 3000, rank1: 0.617, rank2: 0.736, rank4: 0.830, rank8: 0.894, rank16: 0.940, rank32: 0.968
iter: 1000, rank1: 0.624, rank2: 0.734, rank4: 0.830, rank8: 0.897, rank16: 0.939, rank32: 0.967
iter: 1250, rank1: 0.617, rank2: 0.735, rank4: 0.830, rank8: 0.899, rank16: 0.943, rank32: 0.969
iter: 1500, rank1: 0.622, rank2: 0.733, rank4: 0.830, rank8: 0.896, rank16: 0.942, rank32: 0.968
iter: 1750, rank1: 0.625, rank2: 0.736, rank4: 0.827, rank8: 0.895, rank16: 0.941, rank32: 0.968
iter: 2000, rank1: 0.623, rank2: 0.732, rank4: 0.833, rank8: 0.896, rank16: 0.941, rank32: 0.969
iter: 2250, rank1: 0.623, rank2: 0.735, rank4: 0.834, rank8: 0.896, rank16: 0.940, rank32: 0.969
iter: 2500, rank1: 0.625, rank2: 0.736, rank4: 0.831, rank8: 0.893, rank16: 0.941, rank32: 0.968
iter: 2750, rank1: 0.622, rank2: 0.738, rank4: 0.832, rank8: 0.895, rank16: 0.939, rank32: 0.967
iter: 3000, rank1: 0.617, rank2: 0.736, rank4: 0.830, rank8: 0.894, rank16: 0.940, rank32: 0.968
