
iter: 60000, rank1: 0.851010, rank5: 0.938384, rank10: 0.953030, rank20: 0.973232, mAP: 0.827378
iter: 60000, rank1: 0.854040, rank5: 0.940404, rank10: 0.954545, rank20: 0.972222, mAP: 0.821709
iter: 60000, rank1: 0.859596, rank5: 0.943939, rank10: 0.956061, rank20: 0.971212, mAP: 0.809781
iter: 60000, rank1: 0.862121, rank5: 0.943939, rank10: 0.957071, rank20: 0.971212, mAP: 0.796482


iter: 60000, rank1: 0.851515, rank5: 0.936869, rank10: 0.953535, rank20: 0.971212, mAP: 0.826686
iter: 60000, rank1: 0.857576, rank5: 0.938889, rank10: 0.953535, rank20: 0.971717, mAP: 0.822498
iter: 60000, rank1: 0.859596, rank5: 0.946970, rank10: 0.958586, rank20: 0.971717, mAP: 0.796093
iter: 60000, rank1: 0.857576, rank5: 0.940404, rank10: 0.958081, rank20: 0.971717, mAP: 0.813475
iter: 60000, rank1: 0.857576, rank5: 0.940404, rank10: 0.958081, rank20: 0.971717, mAP: 0.813475
iter: 60000, rank1: 0.854545, rank5: 0.938889, rank10: 0.957071, rank20: 0.973232, mAP: 0.822883
iter: 60000, rank1: 0.854545, rank5: 0.938889, rank10: 0.957071, rank20: 0.973232, mAP: 0.822883
iter: 60000, rank1: 0.848990, rank5: 0.936869, rank10: 0.954545, rank20: 0.973737, mAP: 0.823372

iter: 60000, rank1: 0.848990, rank5: 0.942424, rank10: 0.959091, rank20: 0.970202, mAP: 0.746821
